ID,Название книги,Автор книги,Год издания,Статус
470,Дао де Цзин,Лао Цзы,IV—III в. до н. э.,в наличии
471,Нетерпение сердца,Стефан Цвейг,1939,в наличии
472,Записки на манжетах,Михаил Булгаков,1923,в наличии
473,Приключения капитана Врунгеля,Андрей Некрасов,1937,в наличии
474,Маленькая хозяйка большого дома,Джек Лондон,1916,в наличии
475,Туманность Андромеды,Иван Ефремов,1955-1958,в наличии
476,Гадюка,Алексей Толстой,1925,в наличии
477,Охота на овец,Харуки Мураками,1982,в наличии
478,Коллекционер,Джон Фаулз,1963,в наличии
479,Сказки про Муми-тролля,Туве Янссон,1945-1970,в наличии
480,Опасные связи,Шодерло де Лакло,1782,в наличии
481,Хроники Заводной Птицы,Харуки Мураками,1992-1995,в наличии
482,Котлован,Андрей Платонов,1930,в наличии
483,Полтава,Александр Пушкин,1828,в наличии
484,Королевское Высочество,Томас Манн,1909,в наличии
485,Обмененные головы. Индийская легенда,Томас Манн,1940,в наличии
486,Пеппи Длинный чулок,Астрид Линдгрен,1945-1979,в наличии
487,Демиан,Герман Гессе,1919,в наличии
488,На всякого мудреца довольно простоты,Александр Островский,1868,в наличии
489,Декамерон,Джованни Боккаччо,1352-1354,в наличии
490,Зеленая миля,Стивен Кинг,1996,в наличии
491,"Дэнс, дэнс, дэнс",Харуки Мураками,1988,в наличии
492,К последнему морю,Василий Ян,1955,в наличии
493,Сказки,Оскар Уайльд,1888,в наличии
494,Старая крепость,Владимир Беляев,1936-1950,в наличии
495,Нарцисс и Гольдмунд,Герман Гессе,1930,в наличии
496,Необыкновенные приключения Карика и Вали,Ян Ларри,1937,в наличии
497,Чарли и шоколадная фабрика,Роальд Даль,1964,в наличии
498,Токийские легенды,Харуки Мураками,2005,в наличии
499,Крёстный отец,Марио Пьюзо,1969,в наличии
500,Записки сумасшедшего,Николай Гоголь,1834,в наличии
501,Одиссея Капитана Блада,Рафаэль Сабатини,1922,в наличии
502,Спеши любить,Николас Спаркс,1999,в наличии
503,Фиеста (И восходит солнце),Эрнест Хемингуэй,1926,в наличии
504,Стихотворения,Фёдор Тютчев,1813-1873,в наличии
505,Журавлиный крик,Василь Быков,1959,в наличии
506,Мальчики,Антон Чехов,1887,в наличии
507,Невыносимая легкость бытия,Милан Кундера,1984,в наличии
508,Эра Милосердия,Братья Вайнеры,1976,в наличии
509,Альпийская баллада,Василь Быков,1963,в наличии
510,Белые одежды,Владимир Дудинцев,1986,в наличии
511,Приключения барона Мюнхгаузена,Рудольф Эрих Распэ,1786,в наличии
512,Северная повесть,Константин Паустовский,1937,в наличии
513,Обелиск,Василь Быков,1971,в наличии
514,Сказки,Братья Гримм,1812,в наличии
515,Петер Каменцинд,Герман Гессе,1904,в наличии
516,Витя Малеев в школе и дома,Николай  Носов,1951,в наличии
517,Его прощальный поклон,Артур Конан Дойль,1908-1917,в наличии
518,Рассказы,Герберт Уэллс,1887-1939,в наличии
519,Приключения Чиполлино,Джанни Родари,1957,в наличии
520,Посторонний,Альбер Камю,1942,в наличии
521,История государства Российского,Николай Карамзин,1816 -1825,в наличии
522,Милый друг,Ги де Мопассан,1885,в наличии
523,Хроники Нарнии,Клайв Льюис,1950-1956,в наличии
524,Королёк — птичка певчая,Решад Нури Гюнтекин,1922,в наличии
525,Стихи для детей,Самуил Маршак,1923-1964,в наличии
526,Сказки,Вильгельм Гауф,1826-1828,в наличии
527,"Бойня номер пять, или Крестовый поход детей",Курт Воннегут,1969,в наличии
528,Дерсу Узала,Владимир Арсеньев,1923,в наличии
529,И дольше века длится день...,Чингиз Айтматов,1980,в наличии
530,Три возраста Окини-Сан,Валентин Пикуль,1981,в наличии
531,Чувство и чувствительность (Разум и чувство),Джейн Остин,1811,в наличии
532,Приглашение на казнь,Владимир Набоков,1936,в наличии
533,Душечка,Антон Чехов,1899,в наличии
534,Снега Килиманджаро,Эрнест Хемингуэй,1936,в наличии
535,Острова в океане,Эрнест Хемингуэй,"1950-51, 1970",в наличии
536,Дожить до рассвета,Василь Быков,1972,в наличии
537,Цветы запоздалые,Антон Чехов,1882,в наличии
538,Уральские сказы,Павел Бажов,1936-1950,в наличии
539,Метель,Александр Пушкин,1831,в наличии
540,Мёртвым не больно,Василь Быков,1965,в наличии
541,Хижина дяди Тома,Гарриет Бичер-Стоу,1852,в наличии
542,Чучело,Владимир Железников,1981,в наличии
543,Веселый солдат,Виктор Астафьев,1998,в наличии
544,Драматическая трилогия,Алексей Константинович Толстой,1866-70,в наличии
545,Эмиль из Лённеберги,Астрид Линдгрен,1963,в наличии
546,Душа ребенка,Герман Гессе,1918,в наличии
547,Мир глазами Гарпа,Джон Ирвинг,1978,в наличии
548,Америка (Пропавший без вести),Франц Кафка,1927,в наличии
549,Старик Хоттабыч,Лазарь Лагин,1938,в наличии
550,Айвенго,Вальтер Скотт,1819,в наличии
551,Дневник фокса Микки,Саша Черный,1927,в наличии
552,Критика чистого разума,Иммануил Кант,1781,в наличии
553,Жизнь и необычайные приключения солдата Ивана Чонкина,Владимир Войнович,1963-2007,в наличии
554,Мой лейтенант,Даниил Гранин,2011,в наличии
555,Житие одной бабы,Николай Лесков,1863,в наличии
556,Дракон,Евгений Шварц,1944,в наличии
557,Лирика,Фернандо Пессоа,,в наличии
558,Поздняя любовь,Александр Островский,1873,в наличии
559,Так говорил Заратустра. Книга для всех и ни для кого,Фридрих Ницше,1883-1891,в наличии
560,Остров доктора Моро,Герберт Уэллс,1896,в наличии
561,Крутой маршрут,Евгения Гинзбург,1967-1977,в наличии
562,Проклятые короли,Морис Дрюон,1955-1960,в наличии
563,Зов предков,Джек Лондон,1903,в наличии
564,Листья травы,Уолт Уитмен,1855-1891,в наличии
565,Сто лет тому вперёд,Кир Булычев,1978,в наличии
566,Людочка,Виктор Астафьев,1987,в наличии
567,Большие надежды,Чарльз Диккенс,1861,в наличии
568,Шагреневая кожа,Оноре де Бальзак,1831,в наличии
569,Другие берега,Владимир Набоков,1953,в наличии
570,Женщина в белом,Уилки Коллинз,1860,в наличии
571,Поллианна,Элинор Портер,1913,в наличии
572,Молчание ягнят,Томас Харрис,1988,в наличии
573,Годы учения Вильгельма Мейстера,Иоганн Вольфганг фон Гёте,1795-1796,в наличии
574,Дети Арбата,Анатолий Рыбаков,1960-е,в наличии
575,И грянул гром,Рэй Брэдбери,1952,в наличии
576,Без семьи,Гектор Мало,1878,в наличии
577,Стоянка человека,Фазиль Искандер,1990,в наличии
578,Чума,Альбер Камю,1947,в наличии
579,Сказка о мёртвой царевне и о семи богатырях,Александр Пушкин,1833,в наличии
580,Рождественская песнь в прозе,Чарльз Диккенс,1843,в наличии
581,"Следопыт, или На берегах Онтарио",Джеймс Фенимор Купер,1840,в наличии
582,Любовница французского лейтенанта,Джон Фаулз,1969,в наличии
583,Мемуары гейши,Артур Голден,1997,в наличии
584,Аэропорт,Артур Хейли,1968,в наличии
585,Загадочная история Бенджамина Баттона,Фрэнсис Скотт Фицджеральд,1921,в наличии
586,Милый бо-пэр,Тибор Дери,1973,в наличии
587,Камера обскура,Владимир Набоков,1932,в наличии
588,Цыганы,Александр Пушкин,1824,в наличии
589,Ночевала тучка золотая,Анатолий Приставкин,1987,в наличии
590,Зима тревоги нашей,Джон Стейнбек,1961,в наличии
591,Москва-Петушки,Венедикт Ерофеев,1970,в наличии
592,Три женщины,Роберт Музиль,1924,в наличии
593,Волны гасят ветер,Аркадий и Борис Стругацкие,1986,в наличии
594,Укрощение строптивой,Уильям Шекспир,"1593(?), 1594(?)",в наличии
595,Сестра Керри,Теодор Драйзер,1900,в наличии
596,Деньги для Марии,Валентин Распутин,1967,в наличии
597,Приготовительная школа эстетики,Жан Поль,1804,в наличии
598,Афоризмы житейской мудрости,Артур Шопенгауэр,1851,в наличии
599,Клуб самоубийц,Роберт Льюис Стивенсон,1878,в наличии
600,Мои университеты,Максим Горький,1923,в наличии
601,Паломничество в Страну Востока,Герман Гессе,1932,в наличии
602,"Дикая собака Динго, или Повесть о первой любви",Рувим Фраерман,1939,в наличии
603,"За рекой, в тени деревьев",Эрнест Хемингуэй,1950,в наличии
604,"Зверобой, или Первая тропа войны",Джеймс Фенимор Купер,1841,в наличии
605,Братья и сёстры,Фёдор Абрамов,1958,в наличии
606,Пышка,Ги де Мопассан,1880,в наличии
607,Первая любовь,Иван Тургенев,1860,в наличии
608,Спартак,Рафаэлло Джованьоли,1874,в наличии
609,Консуэло,Жорж Санд,1843,в наличии
610,Золушка,Шарль Перро,1697,в наличии
611,Хамелеон,Антон Чехов,1884,в наличии
612,Эдем,Станислав Лем,1959,в наличии
613,"Дэвид Копперфильд (Жизнь Дэвида Копперфильда, рассказанная им самим)",Чарльз Диккенс,1849-1850,в наличии
614,Шантарам,Грегори Дэвид Робертс,2003,в наличии
615,Окаянные дни,Иван Бунин,1918,в наличии
616,Белый пудель,Александр Куприн,1903,в наличии
617,Бедная Лиза,Николай Карамзин,1792,в наличии
618,Повесть о жизни,Константин Паустовский,1945—1963,в наличии
619,Последний поклон,Виктор Астафьев,1968,в наличии
620,Луна и грош,Сомерсет Моэм,1919,в наличии
621,Этногенез и биосфера земли,Лев Гумилев,1974,в наличии
622,Любовник леди Чаттерли,Дэвид Лоуренс,1928,в наличии
623,Джамиля,Чингиз Айтматов,1958,в наличии
624,Архипелаг ГУЛАГ,Александр Солженицын,1958-1967,в наличии
625,Жизнь господина де Мольера,Михаил Булгаков,1933,в наличии
626,Вечерние огни,Афанасий Фет,1883-1891,в наличии
627,Ашик-Кериб,Михаил Лермонтов,1837,в наличии
628,Нечистая сила,Валентин Пикуль,1979,в наличии
629,Quo vadis (Камо грядеши),Генрик Сенкевич,1894-1896,в наличии
630,Далекая Радуга,Аркадий и Борис Стругацкие,1963,в наличии
631,Тысяча и одна ночь,Неизвестный автор,,в наличии
632,Доктор Айболит,Корней Чуковский,1929,в наличии
633,Капитал,Карл Маркс,1867,в наличии
634,Фантазеры,Николай  Носов,1957,в наличии
635,"Тим Талер, или Проданный смех",Джеймс Крюс,1962,в наличии
636,Моби Дик,Герман Мелвилл,1851,в наличии
637,Белый пароход,Чингиз Айтматов,1970,в наличии
638,Ради сына,Эрве Базен,1960,в наличии
639,Встань и иди,Эрве Базен,1951,в наличии
640,Как важно быть серьезным,Оскар Уайльд,1895,в наличии
641,В исправительной колонии,Франц Кафка,1914,в наличии
642,"Хоббит, или Туда и обратно",Джон Толкиен,1937,в наличии
643,Детский остров,Саша Черный,1920,в наличии
644,Борьба за огонь,Жозеф Анри Рони-старший,1909,в наличии
645,Ночь в Лиссабоне,Эрих Мария Ремарк,1962,в наличии
646,Посмертные записки Пиквикского клуба,Чарльз Диккенс,1837,в наличии
647,Путь на Амальтею,Аркадий и Борис Стругацкие,1959,в наличии
648,Пойти и не вернуться,Василь Быков,1978,в наличии
649,Убийство на улице Морг,Эдгар По,1841,в наличии
650,Межзвёздный скиталец (Смирительная рубашка),Джек Лондон,1915,в наличии
651,Египетские ночи,Александр Пушкин,1835,в наличии
652,Признания авантюриста Феликса Круля,Томас Манн,1954,в наличии
653,Бремя страстей человеческих,Сомерсет Моэм,1915,в наличии
654,Замок Броуди,Арчибальд Кронин,1931,в наличии
655,Стажёры,Аркадий и Борис Стругацкие,1961,в наличии
656,Отель,Артур Хейли,1965,в наличии
657,Асканио,Александр Дюма,1843,в наличии
658,Белый Ягуар - вождь араваков,Аркадий Фидлер,1980,в наличии
659,Пьер и Люс,Ромен Роллан,1920,в наличии
660,Квентин Дорвард,Вальтер Скотт,1823,в наличии
661,Русские женщины,Николай Некрасов,1872,в наличии
662,Просто вместе,Анна Гавальда,2004,в наличии
663,Блеск и нищета куртизанок,Оноре де Бальзак,1838-1847,в наличии
664,Машенька,Владимир Набоков,1926,в наличии
665,"Отель ""У погибшего альпиниста""",Аркадий и Борис Стругацкие,1970,в наличии
666,Стихотворения в прозе,Иван Тургенев,1878-1882,в наличии
667,Отелло,Уильям Шекспир,1604,в наличии
668,Попытка к бегству,Аркадий и Борис Стругацкие,1962,в наличии
669,Чистый понедельник,Иван Бунин,1944,в наличии
670,День Петра,Алексей Толстой,1918,в наличии
671,Эмма,Джейн Остин,1816,в наличии
672,Остров погибших кораблей,Александр Беляев,1926-1927,в наличии
673,Лунный камень,Уилки Коллинз,1866,в наличии
674,Чингисхан,Василий Ян,1939,в наличии
675,Черная стрела,Роберт Льюис Стивенсон,1888,в наличии
676,Парень из преисподней,Аркадий и Борис Стругацкие,1974,в наличии
677,Ребекка,Дафна дю Морье,1938,в наличии
678,Сказка о тройке,Аркадий и Борис Стругацкие,1967,в наличии
679,Письмо незнакомки,Стефан Цвейг,1922,в наличии
680,Басни и рассказы для детей,Лев Толстой,,в наличии
681,"О чем я говорю, когда говорю о беге",Харуки Мураками,2007,в наличии
682,Сказки Матушки Гусыни,Шарль Перро,1697,в наличии
683,Доводы рассудка,Джейн Остин,1817,в наличии
684,Государь,Никколо Макиавелли,1532,в наличии
685,Пармская обитель,Стендаль,1839—1846,в наличии
686,Трилогия желания,Теодор Драйзер,1912-1947,в наличии
687,Дракула,Брэм Стокер,1897,в наличии
688,Философические письма,Петр Чаадаев,1836,в наличии
689,Царь - рыба,Виктор Астафьев,1976,в наличии
690,Если наступит завтра,Сидни Шелдон,1985,в наличии
691,Зеленый Генрих,Готфрид Келлер,1855,в наличии
692,Стихи для детей,Агния Барто,1925-1970,в наличии
693,Легенда об Уленшпигеле,Шарль де Костер,1867,в наличии
694,Похороните меня за плинтусом,Павел Санаев,1995,в наличии
695,Батый,Василий Ян,1942,в наличии
696,Шум и ярость,Уильям Фолкнер,1929,в наличии
697,Жизнь животных,Альфред Брем,1863-1869,в наличии
698,Дело Артамоновых,Максим Горький,1925,в наличии
699,P.S. Я люблю тебя,Сесилия Ахерн,2002,в наличии
700,Эмигранты,Алексей Толстой,1931-1939,в наличии
701,"И всякий, кто встретится со мной",Отар Чиладзе,1976,в наличии
702,Нортенгерское Аббатство,Джейн Остин,1818,в наличии
703,Парфюмер. История одного убийцы,Патрик Зюскинд,1985,в наличии
704,Разгром,Александр Фадеев,1926,в наличии
705,Сельские Ромео и Джульетта,Готфрид Келлер,1856,в наличии
706,Холодный дом,Чарльз Диккенс,1852,в наличии
707,Две Дианы,Александр Дюма,1846-1847,в наличии
708,Тропик Рака,Генри Миллер,1934,в наличии
709,Колыбель для кошки,Курт Воннегут,1963,в наличии
710,Сегун,Джеймс Клавелл,1975,в наличии
711,"Кандид, или оптимизм",Вольтер,1758,в наличии
712,Дженни Герхардт,Теодор Драйзер,1911,в наличии
713,Сказка о потерянном времени,Евгений Шварц,1940,в наличии
714,Стихотворения,Булат Окуджава,1943—1997,в наличии
715,Мэнсфилд-парк,Джейн Остин,1814,в наличии
716,Искра жизни,Эрих Мария Ремарк,1952,в наличии
717,Мойдодыр,Корней Чуковский,1923,в наличии
718,Сон смешного человека,Федор Достоевский,1877,в наличии
719,"Полиция, полиция, картофельное пюре","Пер Вале, Май Шевалль",1970,в наличии
720,Глазами клоуна,Генрих Бёлль,1963,в наличии
721,Тени исчезают в полдень,Анатолий Иванов,1963,в наличии
722,Солнце мёртвых,Иван Шмелёв,1923,в наличии
723,В лесах. На горах,Павел Мельников ,1871-1881,в наличии
724,Кавказский пленник,Михаил Лермонтов,1828,в наличии
725,Заводной апельсин,Энтони Бёрджесс,1962,в наличии
726,Отягощённые злом,Аркадий и Борис Стругацкие,1986—1988,в наличии
727,Непричесанные мысли,Станислав Ежи Лец,1957,в наличии
728,Динка,Валентина Осеева,1959,в наличии
729,Снегурочка,Александр Островский,1873,в наличии
730,Цветы зла,Шарль Бодлер,1857,в наличии
731,Женитьба Бальзаминова,Александр Островский,1861,в наличии
732,Пером и шпагой,Валентин Пикуль,1972,в наличии
733,Сердце Пармы,Алексей Иванов,2003,в наличии
734,Электроник - мальчик из чемодана,Евгений Велтистов,1964,в наличии
735,"Я, робот",Айзек Азимов,1950,в наличии
736,Мальчик со шпагой,Владислав Крапивин,1972-1974,в наличии
737,Кентерберийские рассказы,Джеффри Чосер,конец XIVв,в наличии
738,Чтец,Бернхард Шлинк,1995,в наличии
739,Тяжелый песок,Анатолий Рыбаков,1978,в наличии
740,Палая листва,Габриэль Гарсиа Маркес,1955,в наличии
741,Собака на сене,Лопе де Вега,1618,в наличии
742,Родная речь: уроки изящной словесности,"Петр Вайль, Александр Генис",1990,в наличии
743,Одноэтажная Америка,"Илья Ильф, Евгений Петров",1937,в наличии
744,Новеллы,Ги де Мопассан,1880,в наличии
745,Путешествие к центру Земли,Жюль Верн,1865,в наличии
746,Колесо времени,Роберт Джордан,1990-2013,в наличии
747,Рассказы о пилоте Пирксе,Станислав Лем,1968,в наличии
748,Дневник памяти,Николас Спаркс,1996,в наличии
749,Светлана,Василий Жуковский,1808 -- 1812,в наличии
750,Анатомия одного развода,Эрве Базен,1974,в наличии
751,О мышах и людях,Джон Стейнбек,1937,в наличии
752,Короли и капуста,О.Генри,1904,в наличии
753,Капитан Сорви-голова,Луи Буссенар,1901,в наличии
754,Тэсс из рода д’Эрбервиллей,Томас Харди,1891,в наличии
755,Любите ли Вы Брамса?,Франсуаза Саган,1959,в наличии
756,Матрёнин двор,Александр Солженицын,1959,в наличии
757,Голод,Кнут Гамсун,1890,в наличии
758,Маятник Фуко,Умберто Эко,1988,в наличии
759,Опыты,Мишель де Монтень,1580,в наличии
760,Иуда Искариот,Леонид  Андреев,1907,в наличии
761,Бежин луг,Иван Тургенев,1851,в наличии
762,По эту сторону рая,Фрэнсис Скотт Фицджеральд,1920,в наличии
763,Трёхгрошовый роман,Бертольт Брехт,1934,в наличии
764,Золото бунта,Алексей Иванов,2005,в наличии
765,Девяносто третий год,Виктор Гюго,1874,в наличии
766,Дюна,Фрэнк Герберт,1965,в наличии
767,Гаргантюа и Пантагрюэль,Франсуа Рабле,1533-1564,в наличии
768,Рита Хейуорт или Побег из Шоушенка,Стивен Кинг,1982,в наличии
769,Заповедник гоблинов,Клиффорд Саймак,1968,в наличии
770,Побежденные,Ирина Головкина (Римская-Корсакова),1993,в наличии
771,Публицистические статьи и эссе,Джордж Оруэлл,1935-1950,в наличии
772,Гений,Теодор Драйзер,1915,в наличии
773,Смутная улыбка,Франсуаза Саган,1956,в наличии
774,О всех созданиях - больших и малых,Джеймс Хэрриот,1972,в наличии
775,Чемодан,Сергей Довлатов,1986,в наличии
776,Вадим,Михаил Лермонтов,1833,в наличии
777,Девушка с татуировкой дракона,Стиг Ларссон,2005,в наличии
778,Раковый корпус,Александр Солженицын,1963-1966,в наличии
779,Суламифь,Александр Куприн,1908,в наличии
780,Любовь во время холеры,Габриэль Гарсиа Маркес,1985,в наличии
781,Плоский мир,Терри Пратчетт,1983-2014,в наличии
782,Письма незнакомке,Андре Моруа,1953,в наличии
783,Гадкий Утенок,Ганс Христиан Андерсен,1843,в наличии
784,Сон в летнюю ночь,Уильям Шекспир,1594—1596,в наличии
785,Три толстяка,Юрий Олеша,1924,в наличии
786,Волшебник Земноморья,Урсула Ле Гуин,1968-2001,в наличии
787,Голем,Густав Майринк,1914,в наличии
788,Сказки о ёжике и медвежонке,Сергей Козлов,2007,в наличии
789,Мир как воля и представление,Артур Шопенгауэр,1819,в наличии
790,Исповедь,Лев Толстой,1884,в наличии
791,Заповедник,Сергей Довлатов,1983,в наличии
792,Дама с камелиями,Александр Дюма (сын),1848,в наличии
793,Двадцать четыре часа из жизни женщины,Стефан Цвейг,1927,в наличии
794,История государства Российского от Гостомысла до Тимашева,Алексей Константинович Толстой,1868,в наличии
795,Лабиринты Ехо,Макс Фрай,1996-...,в наличии
796,Жажда жизни,Ирвинг Стоун,1934,в наличии
797,Планета людей,Антуан де Сент-Экзюпери,1939,в наличии
798,Темная башня,Стивен Кинг,1982-2012,в наличии
799,"Гойя, или Тяжкий путь познания",Лион Фейхтвангер,1951,в наличии
800,Юнкера,Александр Куприн,1928-1932,в наличии
801,"Здравствуй, грусть!",Франсуаза Саган,1954,в наличии
802,Роза Мира,Даниил Андреев,"1958, 1991",в наличии
803,Золотой горшок,Эрнст Теодор Амадей Гофман,1814,в наличии
804,Приваловские миллионы,Дмитрий Мамин-Сибиряк,1883,в наличии
805,Господин из Сан-Франциско,Иван Бунин,1915,в наличии
806,"Пионеры, или У истоков Саскуиханны",Джеймс Фенимор Купер,1823,в наличии
807,Мелкий бес,Федор Сологуб,1892-1902,в наличии
808,Капитаны песка,Жоржи Амаду,1937,в наличии
809,"Мио, мой Мио!",Астрид Линдгрен,1954,в наличии
810,Сорок из Северного Далласа (Северный Даллас Сорок),Питер Гент,1973,в наличии
811,Странная история доктора Джекила и мистера Хайда,Роберт Льюис Стивенсон,1886,в наличии
812,"Крошка Цахес, по прозванию Циннобер",Эрнст Теодор Амадей Гофман,1818,в наличии
813,Первые люди на Луне,Герберт Уэллс,1901,в наличии
814,Финансист,Теодор Драйзер,1912,в наличии
815,Гобсек,Оноре де Бальзак,1830,в наличии
816,Королевство кривых зеркал,Виталий Губарев,1951,в наличии
817,Сияние,Стивен Кинг,1977,в наличии
818,Басни,Эзоп,VI век до н. э.,в наличии
819,Рассказы и сказки,Виталий Бианки,1960,в наличии
820,Потерянный рай,Джон Мильтон,1667,в наличии
821,Джузеппе Бальзамо,Александр Дюма,1846 — 1848,в наличии
822,Прекрасные и проклятые,Фрэнсис Скотт Фицджеральд,1922,в наличии
823,Удивительный волшебник из страны Оз,Лаймен Фрэнк Баум,1900,в наличии
824,Возлюби ближнего своего,Эрих Мария Ремарк,1941,в наличии
825,Рони дочь разбойника,Астрид Линдгрен,1981,в наличии
826,Саломея,Оскар Уайльд,1891,в наличии
827,Незнакомка из Уайлдфелл-Холла,Энн Бронте,1848,в наличии
828,Амок,Стефан Цвейг,1922,в наличии
829,Звездные часы человечества,Стефан Цвейг,1927,в наличии
830,Север и Юг,Элизабет Гаскелл,1855,в наличии
831,Былины,Разные авторы,,в наличии
832,Янки из Коннектикута при дворе короля Артура,Марк Твен,1889,в наличии
833,Двенадцать месяцев,Самуил Маршак,1943,в наличии
834,Без языка,Владимир Короленко,1895,в наличии
835,Падение дома Ашеров,Эдгар По,1839,в наличии
836,Созвездие Козлотура,Фазиль Искандер,1966,в наличии
837,Энеида,Вергилий,29-19 г. до н. э.,в наличии
838,Человек в картинках,Рэй Брэдбери,1951,в наличии
839,Бог располагает!,Александр Дюма,1866,в наличии
840,Мнимый больной,Мольер,1673,в наличии
841,Памяти Каталонии,Джордж Оруэлл,1936,в наличии
842,Женская война,Александр Дюма,1849,в наличии
843,Сравнительные жизнеописания,Плутарх,79-120,в наличии
844,Крошка Доррит,Чарльз Диккенс,1855-1857,в наличии
845,Земля обетованная,Эрих Мария Ремарк,1998,в наличии
846,Глас Господа,Станислав Лем,1968,в наличии
847,99 франков,Фредерик Бегбедер,1997-2000,в наличии
848,Царь Эдип,Софокл,,в наличии
849,Дама в автомобиле в очках и с ружьем,Себастьян Жапризо,1966,в наличии
850,Ревун,Рэй Брэдбери,1951,в наличии
851,Сатирикон,Петроний Арбитр,I век н. э,в наличии
852,Живой как жизнь,Корней Чуковский,1962,в наличии
853,Падение,Альбер Камю,1956,в наличии
854,Конец вечности,Айзек Азимов,1955,в наличии
855,Кибериада,Станислав Лем,1964-1979,в наличии
856,"Завтрак для чемпионов, или Прощай, Черный понедельник!",Курт Воннегут,1973,в наличии
857,Утопия,Томас Мор,1516,в наличии
858,Хроника объявленной смерти,Габриэль Гарсиа Маркес,1981,в наличии
859,"Двенадцатая ночь, или Что угодно",Уильям Шекспир,1600-1601 (?),в наличии
860,Серенгети не должен умереть,Бернгард и Михаэль Гржимек,1959,в наличии
861,Домби и сын,Чарльз Диккенс,1846-1848,в наличии
862,Ат-Даван,Владимир Короленко,1892,в наличии
863,Военный летчик,Антуан де Сент-Экзюпери,1942,в наличии
864,Бойцовский клуб,Чак Паланик,1996,в наличии
865,Завтрак у Тиффани,Трумен Капоте,1958,в наличии
866,Маленькая Принцесса,Фрэнсис Элиза Бёрнетт,1905,в наличии
867,Случаи,Даниил Хармс,1930-е,в наличии
868,Одиночество в Сети,Януш Вишневский,2001,в наличии
869,Фрегат  «Паллада»,Иван Гончаров,1855-57,в наличии
870,В круге первом,Александр Солженицын,1955-1958,в наличии
871,Соколинец,Владимир Короленко,1885,в наличии
872,Рассказы,Агата Кристи,1924-1971,в наличии
873,Ричард III,Уильям Шекспир,1591,в наличии
874,2001: Космическая одиссея,Артур Кларк,1968,в наличии
875,Идеальный муж,Оскар Уайльд,1895,в наличии
876,Интервью с вампиром,Энн Райс,1976,в наличии
877,Агнес Грей,Энн Бронте,1847,в наличии
878,"Рукопись, найденная в ванне",Станислав Лем,1960,в наличии
879,"Девушка, которая взрывала воздушные замки",Стиг Ларссон,2007,в наличии
880,Юлий Цезарь,Уильям Шекспир,1599,в наличии
881,Шерли,Шарлотта Бронте,1849,в наличии
882,Генрих IV,Уильям Шекспир,1598,в наличии
883,Пан,Кнут Гамсун,1894,в наличии
884,Гуттаперчевый мальчик,Дмитрий Григорович,1883,в наличии
885,Очарованная душа,Ромен Роллан,1922,в наличии
886,Похождения Чичикова,Михаил Булгаков,1922,в наличии
887,Метафизика,Аристотель,IV в до н.э.,в наличии
888,Копи царя Соломона,Генри Райдер Хаггард,1885,в наличии
889,Тринадцатая сказка,Диана Сеттерфилд,2006,в наличии
890,Много шума из ничего,Уильям Шекспир,1600,в наличии
891,Игра Эндера,Орсон Скотт Кард,1985,в наличии
892,Немного солнца в холодной воде,Франсуаза Саган,1969,в наличии
893,"Девушка, которая играла с огнём",Стиг Ларссон,2006,в наличии
894,Ветер,Рэй Брэдбери,1943,в наличии
895,Серия о Дживсе и Вустере,Пэлем Грэнвил Вудхауз,1916-1974,в наличии
896,Надвигается беда,Рэй Брэдбери,1962,в наличии
897,Сумма технологии,Станислав Лем,1967,в наличии
898,Дневники,Лев Толстой,1847-1910,в наличии
899,Ариэль,Александр Беляев,1941,в наличии
900,"Франкенштейн, или Современный Прометей",Мэри Шелли,1818,в наличии
901,"Цветы сливы в золотой вазе, или Цзинь, Пин, Мэй",Ланьлинский насмешник,1617,в наличии
902,Ветер в ивах,Кеннет Грэм,1908,в наличии
903,Основание,Айзек Азимов,1951-1993,в наличии
904,Смерть - дело одинокое,Рэй Брэдбери,1985,в наличии
905,Звездная пехота (Звездный десант),Роберт Хайнлайн,1959,в наличии
906,Серия романов об адвокате Пэрри Мейсоне,Эрл Стэнли Гарднер,1933-1973,в наличии
907,Татарская пустыня,Дино Буццати,1940,в наличии
908,Лавка древностей,Чарльз Диккенс,1840-1841,в наличии
909,Цикл «Праведники»,Николай Лесков,1887,в наличии
910,Крыса из нержавеющей стали,Гарри Гаррисон,1961,в наличии
911,Клоп,Владимир Маяковский,1928,в наличии
912,Буря,Уильям Шекспир,1611,в наличии
913,Прерия,Джеймс Фенимор Купер,1827,в наличии
914,Динка прощается с детством,Валентина Осеева,1959,в наличии
915,Парижские тайны,Эжен Сю,1842-1843,в наличии
916,Персы,Эсхил,472 до н.э.,в наличии
917,Две жизни,Конкордия Антарова,"1940-е, 1993",в наличии
918,Пасынки Вселенной,Роберт Хайнлайн,1941,в наличии
919,Мы все из Бюллербю,Астрид Линдгрен,1947,в наличии
920,Город и Звезды,Артур Кларк,1956,в наличии
921,Лучшее средство от северного ветра,Даниэль Глаттауэр,2006,в наличии
922,Почти серьезно...,Юрий Никулин,1978,в наличии
923,Похищенный,Роберт Льюис Стивенсон,1886,в наличии
924,Свидание с Рамой,Артур Кларк,1970,в наличии
925,Путь жизни,Лев Толстой,1910,в наличии
926,Остров,Олдос Хаксли,1962,в наличии
927,Трое на четырех колесах,Джером К. Джером,1900,в наличии
928,Сирены Титана,Курт Воннегут,1959,в наличии
